release_date,numRatings,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
2013-11-15,6864,space,simulation,sci_fi,space_sim,singleplayer,economy,trading,strategy,atmospheric,moddable
2013-03-25,83288,alternate_history,beautiful,dystopian_,linear,story_rich,singleplayer,steampunk,atmospheric,great_soundtrack,sci_fi
2014-05-22,895,anime,female_protagonist,platformer,singleplayer,indie,hack_and_slash,sci_fi,cute,fantasy,action
2014-02-14,870,gothic,rpg,turn_based_strategy,strategy,turn_based,fantasy,dark_fantasy,singleplayer,atmospheric,multiplayer
2014-07-03,334,strategy,world_war_ii,rts,,,,,,,
2018-08-14,742,early_access,indie,military,realistic,singleplayer,co_op,tactical,action,fps,multiplayer
2015-09-17,13909,trains,trackir,simulation,fishing,vr,singleplayer,driving,realistic,casual,relaxing
2017-10-16,4515,martial_arts,local_co_op,parkour,indie,fighting,fast_paced,moddable,ninja,physics,gore
2013-03-11,9499,sniper,bullet_time,controller,stealth,singleplayer,military,co_op,strategy,online_co_op,simulation
2013-06-06,17075,local_co_op,beautiful,platformer,puzzle,co_op,fantasy,indie,online_co_op,physics,great_soundtrack
2015-11-01,7626,isometric,X1990s,crpg,rpg,post_apocalyptic,classic,turn_based,sci_fi,turn_based_combat,singleplayer
2013-07-04,12600,party_based_rpg,jrpg,dystopian_,rpg,classic,turn_based,singleplayer,story_rich,great_soundtrack,fantasy
2013-12-05,6005,card_game,jrpg,rpg,X1990s,classic,singleplayer,great_soundtrack,turn_based,story_rich,fantasy
2014-02-18,11915,mmorpg,massively_multiplayer,rpg,fantasy,great_soundtrack,jrpg,anime,character_customization,story_rich,magic
2014-09-09,250,strategy,simulation,economy,medieval,management,,,,,
2013-10-21,3191,isometric,strategy,medieval,remake,base_building,rts,classic,simulation,economy,city_builder
2013-10-21,4249,strategy,remake,medieval,rts,city_builder,classic,simulation,economy,historical,singleplayer
2016-09-15,527,X3d,real_time,real_time_tactics,remake,strategy,simulation,medieval,base_building,rts,city_builder
2013-05-27,14962,arcade,split_screen,controller,racing,sports,local_co_op,driving,X3d_vision,simulation,singleplayer
2016-08-01,11,casual,indie,simulation,,,,,,,
2014-08-07,9388,arcade,X2d_fighter,controller,fighting,X2.5d,beat_em_up,local_co_op,local_multiplayer,X3d_vision,e_sports
2013-11-04,111,racing,simulation,,,,,,,,
2013-08-22,9584,cold_war,sci_fi,third_person_shooter,singleplayer,noir,strategy,aliens,rpg,atmospheric,action
2014-10-23,17779,strategy,turn_based_strategy,sci_fi,space,X4x,turn_based,singleplayer,futuristic,aliens,hex_grid
2014-01-13,6238,swordplay,X2d_fighter,controller,local_co_op,gamemaker,local_multiplayer,indie,fighting,pixel_graphics,pvp
